week,value,parameter,percentile,paper
38.0,0.6315435393183997,AC,5,Combs (1993)
39.0,0.6463839450043875,AC,5,Combs (1993)
40.0,0.6273680883259279,AC,5,Combs (1993)
41.0,0.6669386794861493,AC,5,Combs (1993)
42.0,0.6314241992643738,AC,5,Combs (1993)
43.0,0.677635026928141,AC,5,Combs (1993)
44.0,0.792362959692273,AC,5,Combs (1993)
10.0,0.030650886013749688,FL,5,Combs (1993)
11.0,0.05433804673920312,FL,5,Combs (1993)
12.0,0.12012450411692092,FL,5,Combs (1993)
13.0,0.13109734020119984,FL,5,Combs (1993)
14.0,0.13839883598529115,FL,5,Combs (1993)
15.0,0.14299489728831263,FL,5,Combs (1993)
16.0,0.1470631306294125,FL,5,Combs (1993)
17.0,0.1396319250444644,FL,5,Combs (1993)
18.0,0.13205013986743247,FL,5,Combs (1993)
19.0,0.12680968698577866,FL,5,Combs (1993)
20.0,0.13050278900334325,FL,5,Combs (1993)
21.0,0.12801672289391786,FL,5,Combs (1993)
22.0,0.12952015886248008,FL,5,Combs (1993)
23.0,0.12399622735805992,FL,5,Combs (1993)
24.0,0.11322941578377714,FL,5,Combs (1993)
25.0,0.11597280334623641,FL,5,Combs (1993)
26.0,0.11403645552324856,FL,5,Combs (1993)
27.0,0.11641095177171115,FL,5,Combs (1993)
28.0,0.1083279831319679,FL,5,Combs (1993)
29.0,0.10837401450014664,FL,5,Combs (1993)
30.0,0.10864842687469078,FL,5,Combs (1993)
31.0,0.10950428371196805,FL,5,Combs (1993)
32.0,0.10986289725209905,FL,5,Combs (1993)
33.0,0.114916850960757,FL,5,Combs (1993)
34.0,0.1103572582309216,FL,5,Combs (1993)
35.0,0.10614865908658776,FL,5,Combs (1993)
36.0,0.10595379616526726,FL,5,Combs (1993)
37.0,0.10822036903376511,FL,5,Combs (1993)
38.0,0.11390418319142911,FL,5,Combs (1993)
39.0,0.11232375486221603,FL,5,Combs (1993)
40.0,0.1142171373897903,FL,5,Combs (1993)
41.0,0.10300494419123282,FL,5,Combs (1993)
42.0,0.11424205032333393,FL,5,Combs (1993)
43.0,0.15327514330514996,FL,5,Combs (1993)
44.0,0.12513472739942932,FL,5,Combs (1993)
10.0,0.9439466919306386,HC,5,Combs (1993)
11.0,0.9003085382054029,HC,5,Combs (1993)
12.0,0.769702775301965,HC,5,Combs (1993)
13.0,0.72025704595088,HC,5,Combs (1993)
14.0,0.6722511971765981,HC,5,Combs (1993)
15.0,0.5979276776215321,HC,5,Combs (1993)
16.0,0.5689194195658582,HC,5,Combs (1993)
17.0,0.5485632610357617,HC,5,Combs (1993)
18.0,0.5192024934623503,HC,5,Combs (1993)
19.0,0.497397314740192,HC,5,Combs (1993)
20.0,0.4771215409109249,HC,5,Combs (1993)
21.0,0.47506562933923047,HC,5,Combs (1993)
22.0,0.4495410000913979,HC,5,Combs (1993)
23.0,0.4371771330354776,HC,5,Combs (1993)
24.0,0.4367620631268108,HC,5,Combs (1993)
25.0,0.42486446181066245,HC,5,Combs (1993)
26.0,0.4136370223180898,HC,5,Combs (1993)
27.0,0.4115940860590807,HC,5,Combs (1993)
28.0,0.3972955886036765,HC,5,Combs (1993)
29.0,0.3797430708711917,HC,5,Combs (1993)
30.0,0.38497948922263747,HC,5,Combs (1993)
31.0,0.35196239450031336,HC,5,Combs (1993)
32.0,0.35256260268727935,HC,5,Combs (1993)
33.0,0.335954474786518,HC,5,Combs (1993)
34.0,0.3244269634804312,HC,5,Combs (1993)
35.0,0.3060575370400951,HC,5,Combs (1993)
36.0,0.2940401771411346,HC,5,Combs (1993)
37.0,0.27594586140057564,HC,5,Combs (1993)
38.0,0.25366307917852304,HC,5,Combs (1993)
39.0,0.24043673791629352,HC,5,Combs (1993)
40.0,0.25747551864971374,HC,5,Combs (1993)
41.0,0.22947698777558914,HC,5,Combs (1993)
42.0,0.2536270661504315,HC,5,Combs (1993)
43.0,0.16387387219361832,HC,5,Combs (1993)
44.0,0.0788290562052365,HC,5,Combs (1993)
10.0,0.0005859223674950026,AC_FL,5,Combs (1993)
11.0,0.000885100994033619,AC_FL,5,Combs (1993)
12.0,0.00896605732715816,AC_FL,5,Combs (1993)
13.0,0.006386212989040057,AC_FL,5,Combs (1993)
14.0,0.0017238501101076822,AC_FL,5,Combs (1993)
15.0,0.003069092320983024,AC_FL,5,Combs (1993)
16.0,0.003120739308341833,AC_FL,5,Combs (1993)
17.0,0.0025323425721069897,AC_FL,5,Combs (1993)
18.0,0.001147020153595798,AC_FL,5,Combs (1993)
19.0,0.0010552123158396815,AC_FL,5,Combs (1993)
20.0,0.0017625040325268185,AC_FL,5,Combs (1993)
